what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685291630
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769685298901
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769685306327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685335599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685338559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769685341406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769685388081
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769685391016
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769685403487
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769685403536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685444433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685498673
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769685499029
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769685502209
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769685502279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769685522267
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1769685525346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685531714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685535604
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769685537571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685540643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685542697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769685542747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685603285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685605282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769685605341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769685637569
