what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710522970
error,log,,,"Unhandled event loop exception",1769710523007
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769710526564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710539758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710543407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769710545148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1769710547149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769710550363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769710558249
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769710567614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710584448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769710586353
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710602098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710605228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769710608038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710616378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710626096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710672995
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769710673226
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1769710793103
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1769710793138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710810343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710824040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769710829058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710845650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710963406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710978620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769710996289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769711002413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711009666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711024552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769711029353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769711052320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711056138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711073114
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1769711085543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769711095087
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769711102807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711104561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711106678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711107010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711109176
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769711120655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769711121666
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769711181491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711185416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711189825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711198264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769711200212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711223748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711229090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711265642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1769711277127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711280669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711284896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769711286300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711288602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711291275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769711291332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769711307540
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769711310438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711322088
error,log,,,"Unhandled event loop exception",1769711322292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769711326022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711351017
error,log,,,"Unhandled event loop exception",1769711351050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769711362604
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769711367117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711384598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769711388315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711390251
error,log,,,"Unhandled event loop exception",1769711390264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711401738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711489257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769711512608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711516286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711519950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711529231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769711532191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711558499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711560672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769711562416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711581168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711582874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769711584824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769711616824
