what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769679163784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769679186887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769679280834
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769679285497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769679430855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769679432132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769679434655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769679446125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769679498580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769679761543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769679904581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680370785
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769680371653
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769680371752
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769680397420
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769680397477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680443463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680449316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769680453278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680461900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680479511
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1769680481583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769680624608
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769680625109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769680625908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769680657853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680660404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680669492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680671470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680772791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680809661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769680813195
