what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769236765630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769236806215
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769236806262
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769236811675
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769236813357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769236836328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769236871820
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769236871868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769236915857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237084746
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769237086104
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769237087930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769237129543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769237131024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237133680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237188897
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769237188950
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769237194713
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769237213525
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769237224798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237238238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237242548
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.properties",1769237242590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237296561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237300609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1769237300627
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769237306330
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1769237306627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237324241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237379240
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769237382646
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769237385118
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769237386499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237421255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769237436686
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769237436734
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769237442117
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769237444261
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769237444298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769237481996
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769237488795
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769237491673
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769237496461
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769237498096
