what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769880641728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769880642282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880642869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880647475
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769880647566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880649960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880650992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769880651065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769880655383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769880656266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880658276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880681880
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769880682864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769880683347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880685573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880697775
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1769880697808
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769880698042
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769880700274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769880701073
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880703581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880711251
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1769880711310
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769880711476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769880713703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769880714378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880721058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880773373
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769880773545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880780377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769880782733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769880783496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769880784164
