what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769672668680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769672672385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769672674873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769672676843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769672710072
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1769672719650
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769672730092
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769672735113
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769672735393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769672789410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769672797018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769672802437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769672802929
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769672804636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769672815249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769672817206
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769672817609
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1769672818275
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1769672818294
