what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769188339941
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769188340046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188342543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188407464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188463129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188498386
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769188502075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188506749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188576478
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769188576519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188581969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188592660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188604896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188628012
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769188628195
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769188628312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188665845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188689948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769188691712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769188701863
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769188704325
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769188707674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769188709206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769189012349
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769189012507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769189016914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769189034868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769189046705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769189057232
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769189057436
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769189057564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769189062158
