what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769704610912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769704613767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769704696823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769704744584
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769704747601
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769704799450
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769704799518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769704926540
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769704931399
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769704935202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769704943043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769704945821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769705284643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769705285977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1769705288339
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769705313523
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1769705315320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769705321138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769705324653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769705325945
