what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769659551672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659572285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769659575765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659578628
error,log,,,"Unhandled event loop exception",1769659578677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659583112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659594206
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769659594443
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769659609920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659624376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659696568
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769659697699
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769659701348
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769659703160
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769659703198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659737086
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659804665
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769659804895
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769659845177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659869441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659892772
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769659894596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659933178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659950912
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769659951151
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769659956168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769659965999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660002552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660226997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660238921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660245468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660442036
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769660445796
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769660449126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769660490655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660496323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660618578
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769660630143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660709899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660712794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769660714739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660741315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769660744928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769660744997
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769660762754
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769660846360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661011904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661018286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769661019425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769661023417
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769661029568
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1769661044026
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1769661044059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769661085266
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769661087654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661140059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661142859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769661152331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661156558
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661175349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661186108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661205758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769661207639
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769661249917
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769661255910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661263385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661269590
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769661270943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769661290570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661576152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661579013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661604466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661640090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769661671211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1769661674312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661679821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661693503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661699046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661713136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769661714937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769661726901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661735374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769661746656
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769661746885
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769661754227
