what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1769875120826
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769875121009
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769875123245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769875123741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875126009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875198326
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1769875198397
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769875198576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769875200731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769875201260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875204252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875217108
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1769875217172
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769875217352
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1769875222934
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769875223151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875225561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875292978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769875294012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769875294532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769875295270
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1769875308763
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769875309013
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769875311719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769875312276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875316117
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875380971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769875381985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769875382848
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769875383527
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1769875386487
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769875386727
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1769875390928
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1769875391014
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1769875391043
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769875392562
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1769875392638
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769875392873
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769875392943
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769875519379
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769875525766
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769875526077
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769875593874
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769875596725
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769875597040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769875750162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875753412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875758112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875765920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875958619
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769875958666
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769875960572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769875962596
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769875963855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769875966509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876007174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876133306
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876136331
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769876137454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769876139058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769876141478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876159282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876191477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876197934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769876199874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876236363
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769876236583
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769876280292
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769876295066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876296703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876433021
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769876434090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769876435328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769876437716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876463741
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769876465202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876626423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769876627488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769876628647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769876631084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876644153
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769876647884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876652194
error,log,,,"Unhandled event loop exception",1769876652292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769876660917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876665264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876759019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876811307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876813533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769876814883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769876815921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769876818245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876834218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876835099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769876858564
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769876863113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769876867420
